Gene_name,492,709,637,794,276,250,12,789,66,151,405,115,1754
DDX11L1,0,0,0,0,0,0,0,0,0,0,0,0,0
WASH7P,57,35,12,17,64,11,104,24,12,7,50,23,52
MIR6859-1,15,4,9,4,14,20,37,15,5,0,24,20,13
MIR1302-2HG,0,1,1,0,0,0,0,0,1,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.7,0,1,0,0,0,0,1,2,0,1,0,0,0
RP11-34P13.8,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP27,1,0,0,0,0,0,0,0,0,0,2,0,11
RP11-34P13.15,140,18,61,51,17,75,9,41,52,10,140,1,301
RP11-34P13.16,131,30,44,61,37,89,7,29,39,9,149,1,364
RP11-34P13.14,1,0,1,0,3,0,0,0,0,0,0,0,3
RP11-34P13.13,24,7,5,0,0,1,27,5,8,4,11,15,24
RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.9,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX11L17,4,0,0,0,4,0,0,0,0,0,1,2,0
WASH9P,94,109,88,151,175,87,208,267,45,102,138,137,285
MIR6859-2,0,0,2,1,0,0,0,1,0,0,0,0,0
AP006222.1,2,0,0,5,5,9,4,13,13,0,0,19,0
AP006222.3,0,0,0,0,0,0,0,0,0,0,1,0,6
RPL23AP24,0,0,0,0,0,0,1,0,0,0,0,0,0
RP4-669L17.2,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-669L17.4,54,4,27,17,9,50,15,27,23,0,81,20,149
WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP7,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-669L17.8,0,0,0,0,0,0,0,0,0,0,0,0,0
U6,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.17,12,8,18,7,12,14,17,22,4,4,19,21,7
RP5-857K21.2,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P23,9,14,8,2,2,5,15,12,3,6,7,6,15
MTND2P28,61,49,65,32,40,62,74,84,31,10323,50,42,108
MTCO1P12,1183,956,1415,998,1303,1064,2390,1720,1548,1191,1160,1673,2311
ENSG00000278791,0,0,0,0,0,0,0,0,0,0,0,0,0
MTCO2P12,6,0,7,4,2,2,4,0,0,3,0,3,4
MTATP8P1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTATP6P1,20234,12198,12868,14641,12139,17147,23593,23219,13838,14485,12821,18098,27754
MTCO3P12,12,5,7,3,4,6,13,10,9,11,6,3,53
WBP1LP6,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP3,3,1,2,1,2,0,4,0,0,0,2,1,0
RP11-206L10.2,178,111,99,75,66,89,217,185,47,77,117,203,174
RNU6-1199P,0,0,0,0,2,0,0,0,0,0,0,0,0
RP11-206L10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01409,156,184,218,99,54,76,131,123,41,64,189,182,231
RP11-206L10.18,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.8,10,9,7,10,16,13,26,3,1,8,29,33,8
FAM87B,19,6,25,2,5,6,17,10,7,2,16,7,29
LINC01128,577,405,393,548,338,402,579,892,315,341,491,553,569
LINC00115,63,66,152,36,42,19,101,167,24,11,119,94,37
RP11-206L10.19,2,0,2,0,0,0,0,0,6,2,0,0,2
FAM41C,0,1,0,0,1,0,0,0,0,0,2,0,0
TUBB8P11,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM166AP3,2,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.16,0,2,0,0,6,0,5,0,0,2,0,3,3
RP11-54O7.1,4,0,8,0,12,0,15,7,0,6,2,2,30
RP11-54O7.2,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02593,0,6,4,0,10,0,28,6,0,2,6,6,3
SAMD11,0,1,3,1,0,0,4,0,0,6,0,0,0
NOC2L,4822,2216,2069,2800,3147,3700,4024,5406,1868,3155,2591,2999,3405
KLHL17,525,559,793,598,593,324,1070,647,271,271,783,715,1052
PLEKHN1,46,47,93,102,108,27,155,26,34,47,80,47,81
PERM1,6,2,12,6,4,0,0,2,0,1,6,0,2
RP11-54O7.17,0,3,19,4,19,0,2,11,2,2,21,4,6
HES4,159,57,291,158,346,82,317,135,73,183,131,51,154
ISG15,6342,4088,5038,18839,15425,12178,6907,11939,6425,24848,6307,3457,13612
RP11-54O7.10,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.11,0,0,12,3,1,0,0,6,1,4,5,6,2
AGRN,4290,3417,6721,5016,5440,3193,8577,7803,3922,3646,6316,7396,7571
RP11-54O7.14,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-465B22.3,438,899,766,460,1063,229,870,649,687,383,793,1635,1104
RP11-54O7.18,71,55,96,55,56,28,71,31,25,40,91,98,63
RNF223,6,0,4,4,4,2,6,10,0,0,4,6,2
C1orf159,619,270,357,487,450,490,554,795,282,441,534,516,605
RP11-465B22.9,8,0,0,0,0,2,5,10,5,3,4,2,9
LINC01342,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0,4,0,0,0,0,0
MIR200A,2,0,0,0,0,4,0,0,0,0,0,0,0
MIR429,2,0,0,2,6,0,0,2,0,0,0,0,0
RP11-465B22.8,4,0,0,4,2,0,0,8,0,0,0,0,0
TTLL10-AS1,0,0,0,0,0,0,0,4,0,0,0,0,0
TTLL10,7,0,0,0,0,0,0,8,0,0,0,2,0
TNFRSF18,372,304,224,164,316,140,583,423,834,75,294,769,87
TNFRSF4,91,123,414,98,156,7,540,203,405,344,282,253,192
SDF4,5058,3898,3278,3635,3917,3842,5059,5300,3888,3900,3357,3696,4710
B3GALT6,663,409,385,616,642,830,716,591,387,760,338,272,891
C1QTNF12,26,39,82,24,16,12,85,62,11,6,38,78,26
RP5-902P8.12,2,0,14,4,4,3,18,20,0,6,10,23,6
UBE2J2,2500,1358,1584,1670,1556,2023,1846,2667,1738,1915,1737,1727,2340
LINC01786,2,17,19,11,11,2,21,21,12,2,18,7,22
SCNN1D,30,50,101,34,39,23,161,159,16,16,68,89,60
ACAP3,930,953,1161,1079,776,871,1074,1233,341,859,1187,990,2429
MIR6726,0,0,0,0,0,0,0,0,0,0,0,0,0
PUSL1,343,294,199,244,298,275,309,346,225,236,214,239,305
INTS11,3742,2736,2096,3087,2989,2585,3989,5011,2357,2624,3101,3188,4524
MIR6727,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-890O3.9,79,75,73,54,38,40,119,84,22,61,60,128,112
CPTP,745,464,592,580,550,624,565,987,710,691,489,576,747
TAS1R3,13,24,32,20,18,8,30,47,10,33,32,50,30
DVL1,1106,1460,1199,1040,1482,820,1801,2261,741,811,1337,1570,1551
MIR6808,0,0,0,0,0,0,0,0,0,0,0,0,0
MXRA8,66,55,110,57,53,35,51,108,85,68,71,68,110
AURKAIP1,3577,2025,2087,2375,2668,2868,3128,3652,2722,2953,1891,2312,3270
NDUFB4P8,2,0,0,0,0,2,7,20,2,4,0,2,4
CCNL2,5060,3820,4520,4621,3661,3947,6908,6520,2855,4100,4047,5161,7405
MRPL20-AS1,879,434,567,746,524,640,834,1089,462,727,634,665,776
MRPL20,2735,1149,1485,1709,1509,2564,2102,2781,1624,2580,1364,1458,2521
RN7SL657P,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPL20-DT,311,129,280,150,136,161,175,283,245,99,325,247,253
ANKRD65,36,2,6,1,10,14,24,14,36,10,6,8,2
RP4-758J18.7,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM88B,6,45,5,7,2,9,12,5,0,5,2,0,2
LINC01770,4,0,13,5,8,0,5,0,10,8,4,4,7
VWA1,255,478,261,235,367,128,301,70,147,344,156,262,243
ATAD3C,30,172,2,73,85,34,8,53,2,22,56,131,61
ATAD3B,2463,958,905,1362,1378,2430,1908,2007,863,1777,1136,1023,1388
RP5-832C2.8,4,12,6,10,16,4,3,27,32,2,9,22,1
ATAD3A,2567,768,730,1314,1189,2109,1891,2238,1225,1952,1020,940,1523
TMEM240,1,0,2,2,8,0,0,6,16,0,0,0,6
SSU72,4265,2568,2794,3265,2926,3513,4072,5211,3114,3774,2904,3038,3393
RP5-832C2.5,47,44,50,32,9,43,49,52,34,10,37,38,24
RP11-345P4.11,0,0,0,0,0,0,0,0,0,0,0,0,0
FNDC10,38,32,10,41,24,36,0,92,0,5,38,4,16
RP11-345P4.12,5,14,17,16,0,7,3,4,0,0,15,5,8
RP11-345P4.9,98,178,175,93,104,69,181,192,106,97,129,170,124
MIB2,902,1084,1416,999,859,536,1863,1965,804,638,1217,1426,1366
MMP23B,4,0,0,0,1,0,0,1,0,0,0,0,2
CDK11B,1654,830,1183,1132,1215,1458,1920,2077,747,1506,1100,1710,1667
RP11-345P4.10,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC35E2B,2705,1630,3252,1342,1479,1445,2819,3448,1582,1770,2482,5552,2441
RP11-345P4.6,57,87,41,69,55,55,94,135,12,53,92,257,166
MMP23A,2,0,5,4,5,4,15,0,5,0,3,10,14
CDK11A,34,46,53,53,40,62,51,67,21,36,76,73,95
RP1-283E3.8,69,37,89,72,72,47,106,185,42,28,71,113,105
RP1-283E3.4,153,235,243,528,239,209,187,534,82,314,335,438,820
SLC35E2A,155,135,154,83,79,110,205,234,118,60,173,135,112
NADK,3686,2225,2908,3250,2778,2580,3900,4613,3679,3890,2946,3511,4228
GNB1,17736,12186,12756,15988,14411,12813,17527,22542,13590,15617,14049,19252,24169
RP1-140A9.1,7,8,8,0,2,0,8,10,6,6,1,0,4
CALML6,3,4,4,6,6,10,10,2,13,13,0,2,4
TMEM52,2,0,4,8,0,0,0,6,0,8,2,0,4
CFAP74,0,0,0,0,2,0,4,6,0,0,0,0,0
RP11-547D24.1,0,0,2,0,0,0,0,0,0,0,0,0,0
GABRD,2,0,0,0,4,0,0,0,0,0,4,0,0
RP11-547D24.3,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKCZ,150,156,17,160,225,68,81,14,4,51,25,64,89
RP5-892K4.1,0,0,0,0,0,0,3,0,0,0,0,0,2
PRKCZ-AS1,19,11,0,22,25,2,15,3,8,6,7,0,13
FAAP20,1192,732,990,1038,1100,904,1358,1911,1212,1076,940,997,1398
RP11-181G12.4,2,0,0,0,0,0,0,0,0,0,0,0,0
SKI,714,746,512,591,604,629,606,1194,421,712,824,974,833
RP11-181G12.8,16,7,27,15,6,10,21,83,15,10,22,26,4
MORN1,151,178,134,179,188,71,198,288,133,96,161,107,145
RP4-713A8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-740C4.5,6,34,31,32,46,12,38,75,71,4,13,15,6
RP4-740C4.7,7,31,9,18,2,0,25,22,10,2,6,13,10
RER1,4424,2270,2469,3153,2357,3214,3368,4141,2889,3300,2597,2653,4408
PEX10,500,343,420,425,371,413,554,840,475,356,381,375,487
PLCH2,29,142,249,174,34,23,113,115,11,23,107,139,428
RP3-395M20.2,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-395M20.3,0,0,0,0,0,0,0,0,0,0,0,0,0
PANK4,905,721,860,628,856,682,868,1206,709,718,800,1136,1036
HES5,3,0,10,0,13,0,16,34,0,11,0,2,8
RP3-395M20.12,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF14-AS1,50,25,78,45,35,29,74,91,40,26,49,19,45
TNFRSF14,2368,2845,4244,2506,3677,1863,4733,6050,2811,1282,3457,3524,5367
RP3-395M20.7,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-395M20.9,69,66,155,39,91,39,125,117,72,25,70,124,109
